id,title,full_text,cleaned,tokens,tokens_clean,tokens_stemmed,cleaned_text
21,Machine learning for alloys,"Machine learning for alloys … Pairing machine learning and alloys has proven to be … This Review examines the present
state of machine-learning-driven … We foresee that the partnership between machine learning …",Machine learning for alloys Pairing machine learning and alloys has proven to be This Review examines the present state of machine learning driven We foresee that the partnership between machine learning,"['machine', 'learning', 'for', 'alloys', 'pairing', 'machine', 'learning', 'and', 'alloys', 'has', 'proven', 'to', 'be', 'this', 'review', 'examines', 'the', 'present', 'state', 'of', 'machine', 'learning', 'driven', 'we', 'foresee', 'that', 'the', 'partnership', 'between', 'machine', 'learning']","['machine', 'learning', 'for', 'alloys', 'pairing', 'machine', 'learning', 'and', 'alloys', 'has', 'proven', 'to', 'be', 'this', 'review', 'examines', 'the', 'present', 'state', 'of', 'machine', 'learning', 'driven', 'we', 'foresee', 'that', 'the', 'partnership', 'between', 'machine', 'learning']","['machine', 'learning', 'for', 'alloys', 'pairing', 'machine', 'learning', 'and', 'alloys', 'has', 'proven', 'to', 'be', 'this', 'review', 'examines', 'the', 'present', 'state', 'of', 'machine', 'learning', 'driven', 'we', 'foresee', 'that', 'the', 'partnership', 'between', 'machine', 'learning']",machine learning for alloys pairing machine learning and alloys has proven to be this review examines the present state of machine learning driven we foresee that the partnership between machine learning
22,Machine learning in economics and finance,"Machine learning in economics and finance … Machine Learning (ML) was introduced by Arthur Samuel while working for IBM in 1959, mainly
to describe the pattern recognition tasks that delivered the “learning… of Machine Learning …",Machine learning in economics and finance Machine Learning ML was introduced by Arthur Samuel while working for IBM in 1959 mainly to describe the pattern recognition tasks that delivered the learning of Machine Learning,"['machine', 'learning', 'in', 'economics', 'and', 'finance', 'machine', 'learning', 'ml', 'was', 'introduced', 'by', 'arthur', 'samuel', 'while', 'working', 'for', 'ibm', 'in', '1959', 'mainly', 'to', 'describe', 'the', 'pattern', 'recognition', 'tasks', 'that', 'delivered', 'the', 'learning', 'of', 'machine', 'learning']","['machine', 'learning', 'in', 'economics', 'and', 'finance', 'machine', 'learning', 'ml', 'was', 'introduced', 'by', 'arthur', 'samuel', 'while', 'working', 'for', 'ibm', 'in', '1959', 'mainly', 'to', 'describe', 'the', 'pattern', 'recognition', 'tasks', 'that', 'delivered', 'the', 'learning', 'of', 'machine', 'learning']","['machine', 'learning', 'in', 'economics', 'and', 'finance', 'machine', 'learning', 'ml', 'was', 'introduced', 'by', 'arthur', 'samuel', 'while', 'working', 'for', 'ibm', 'in', '1959', 'mainly', 'to', 'describe', 'the', 'pattern', 'recognition', 'tasks', 'that', 'delivered', 'the', 'learning', 'of', 'machine', 'learning']",machine learning in economics and finance machine learning ml was introduced by arthur samuel while working for ibm in 1959 mainly to describe the pattern recognition tasks that delivered the learning of machine learning
23,Machine learning and applications in microbiology,"Machine learning and applications in microbiology … Applying machine learning to address biological problems is expected … machine learning
practitioner. These key points are further reinforced with an evaluation of how machine learning …",Machine learning and applications in microbiology Applying machine learning to address biological problems is expected machine learning practitioner These key points are further reinforced with an evaluation of how machine learning,"['machine', 'learning', 'and', 'applications', 'in', 'microbiology', 'applying', 'machine', 'learning', 'to', 'address', 'biological', 'problems', 'is', 'expected', 'machine', 'learning', 'practitioner', 'these', 'key', 'points', 'are', 'further', 'reinforced', 'with', 'an', 'evaluation', 'of', 'how', 'machine', 'learning']","['machine', 'learning', 'and', 'applications', 'in', 'microbiology', 'applying', 'machine', 'learning', 'to', 'address', 'biological', 'problems', 'is', 'expected', 'machine', 'learning', 'practitioner', 'these', 'key', 'points', 'are', 'further', 'reinforced', 'with', 'an', 'evaluation', 'of', 'how', 'machine', 'learning']","['machine', 'learning', 'and', 'applications', 'in', 'microbiology', 'applying', 'machine', 'learning', 'to', 'address', 'biological', 'problems', 'is', 'expected', 'machine', 'learning', 'practitioner', 'these', 'key', 'points', 'are', 'further', 'reinforced', 'with', 'an', 'evaluation', 'of', 'how', 'machine', 'learning']",machine learning and applications in microbiology applying machine learning to address biological problems is expected machine learning practitioner these key points are further reinforced with an evaluation of how machine learning
24,OMLT: Optimization & machine learning toolkit,"OMLT: Optimization & machine learning toolkit … The optimization and machine learning toolkit (OMLT) is an open-source software package
… models, which have been trained using machine learning, into larger optimization problems. …",OMLT Optimization machine learning toolkit The optimization and machine learning toolkit OMLT is an open source software package models which have been trained using machine learning into larger optimization problems,"['omlt', 'optimization', 'machine', 'learning', 'toolkit', 'the', 'optimization', 'and', 'machine', 'learning', 'toolkit', 'omlt', 'is', 'an', 'open', 'source', 'software', 'package', 'models', 'which', 'have', 'been', 'trained', 'using', 'machine', 'learning', 'into', 'larger', 'optimization', 'problems']","['omlt', 'optimization', 'machine', 'learning', 'toolkit', 'the', 'optimization', 'and', 'machine', 'learning', 'toolkit', 'omlt', 'is', 'an', 'open', 'source', 'software', 'package', 'models', 'which', 'have', 'been', 'trained', 'using', 'machine', 'learning', 'into', 'larger', 'optimization', 'problems']","['omlt', 'optimization', 'machine', 'learning', 'toolkit', 'the', 'optimization', 'and', 'machine', 'learning', 'toolkit', 'omlt', 'is', 'an', 'open', 'source', 'software', 'package', 'models', 'which', 'have', 'been', 'trained', 'using', 'machine', 'learning', 'into', 'larger', 'optimization', 'problems']",omlt optimization machine learning toolkit the optimization and machine learning toolkit omlt is an open source software package models which have been trained using machine learning into larger optimization problems
25,Machine learning in chemical engineering: A perspective,"Machine learning in chemical engineering: A perspective … and application of machine learning with a focus on deep learning and probabilistic models.
… algorithms of statistical machine learning, especially unsupervised deep learning, and its …",Machine learning in chemical engineering A perspective and application of machine learning with a focus on deep learning and probabilistic models algorithms of statistical machine learning especially unsupervised deep learning and its,"['machine', 'learning', 'in', 'chemical', 'engineering', 'a', 'perspective', 'and', 'application', 'of', 'machine', 'learning', 'with', 'a', 'focus', 'on', 'deep', 'learning', 'and', 'probabilistic', 'models', 'algorithms', 'of', 'statistical', 'machine', 'learning', 'especially', 'unsupervised', 'deep', 'learning', 'and', 'its']","['machine', 'learning', 'in', 'chemical', 'engineering', 'perspective', 'and', 'application', 'of', 'machine', 'learning', 'with', 'focus', 'on', 'deep', 'learning', 'and', 'probabilistic', 'models', 'algorithms', 'of', 'statistical', 'machine', 'learning', 'especially', 'unsupervised', 'deep', 'learning', 'and', 'its']","['machine', 'learning', 'in', 'chemical', 'engineering', 'perspective', 'and', 'application', 'of', 'machine', 'learning', 'with', 'focus', 'on', 'deep', 'learning', 'and', 'probabilistic', 'models', 'algorithms', 'of', 'statistical', 'machine', 'learning', 'especially', 'unsupervised', 'deep', 'learning', 'and', 'its']",machine learning in chemical engineering perspective and application of machine learning with focus on deep learning and probabilistic models algorithms of statistical machine learning especially unsupervised deep learning and its
26,Human-in-the-loop machine learning: a state of the art,"Human-in-the-loop machine learning: a state of the art … Researchers are defining new types of interactions between humans and machine learning
… machine learning (HITL-ML) (Munro 2020). The idea is not only to make machine learning …",Human in the loop machine learning a state of the art Researchers are defining new types of interactions between humans and machine learning machine learning HITL ML Munro 2020 The idea is not only to make machine learning,"['human', 'in', 'the', 'loop', 'machine', 'learning', 'a', 'state', 'of', 'the', 'art', 'researchers', 'are', 'defining', 'new', 'types', 'of', 'interactions', 'between', 'humans', 'and', 'machine', 'learning', 'machine', 'learning', 'hitl', 'ml', 'munro', '2020', 'the', 'idea', 'is', 'not', 'only', 'to', 'make', 'machine', 'learning']","['human', 'in', 'the', 'loop', 'machine', 'learning', 'state', 'of', 'the', 'art', 'researchers', 'are', 'defining', 'new', 'types', 'of', 'interactions', 'between', 'humans', 'and', 'machine', 'learning', 'machine', 'learning', 'hitl', 'ml', 'munro', '2020', 'the', 'idea', 'is', 'not', 'only', 'to', 'make', 'machine', 'learning']","['human', 'in', 'the', 'loop', 'machine', 'learning', 'state', 'of', 'the', 'art', 'researchers', 'are', 'defining', 'new', 'types', 'of', 'interactions', 'between', 'humans', 'and', 'machine', 'learning', 'machine', 'learning', 'hitl', 'ml', 'munro', '2020', 'the', 'idea', 'is', 'not', 'only', 'to', 'make', 'machine', 'learning']",human in the loop machine learning state of the art researchers are defining new types of interactions between humans and machine learning machine learning hitl ml munro 2020 the idea is not only to make machine learning
27,Causality for machine learning,"Causality for machine learning … for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …",Causality for machine learning for Machine Learning In spite of all recent successes if we compare what machine learning This shortcoming is not too surprising since machine learning often disregards information,"['causality', 'for', 'machine', 'learning', 'for', 'machine', 'learning', 'in', 'spite', 'of', 'all', 'recent', 'successes', 'if', 'we', 'compare', 'what', 'machine', 'learning', 'this', 'shortcoming', 'is', 'not', 'too', 'surprising', 'since', 'machine', 'learning', 'often', 'disregards', 'information']","['causality', 'for', 'machine', 'learning', 'for', 'machine', 'learning', 'in', 'spite', 'of', 'all', 'recent', 'successes', 'if', 'we', 'compare', 'what', 'machine', 'learning', 'this', 'shortcoming', 'is', 'not', 'too', 'surprising', 'since', 'machine', 'learning', 'often', 'disregards', 'information']","['causality', 'for', 'machine', 'learning', 'for', 'machine', 'learning', 'in', 'spite', 'of', 'all', 'recent', 'successes', 'if', 'we', 'compare', 'what', 'machine', 'learning', 'this', 'shortcoming', 'is', 'not', 'too', 'surprising', 'since', 'machine', 'learning', 'often', 'disregards', 'information']",causality for machine learning for machine learning in spite of all recent successes if we compare what machine learning this shortcoming is not too surprising since machine learning often disregards information
28,Machine learning: new ideas and tools in environmental science and engineering,"Machine learning: new ideas and tools in environmental science and engineering … Machine learning has the potential to revolutionize data analysis and modeling in the …
shortcomings, challenges, and opportunities for applications of machine learning in the ESE field. …",Machine learning new ideas and tools in environmental science and engineering Machine learning has the potential to revolutionize data analysis and modeling in the shortcomings challenges and opportunities for applications of machine learning in the ESE field,"['machine', 'learning', 'new', 'ideas', 'and', 'tools', 'in', 'environmental', 'science', 'and', 'engineering', 'machine', 'learning', 'has', 'the', 'potential', 'to', 'revolutionize', 'data', 'analysis', 'and', 'modeling', 'in', 'the', 'shortcomings', 'challenges', 'and', 'opportunities', 'for', 'applications', 'of', 'machine', 'learning', 'in', 'the', 'ese', 'field']","['machine', 'learning', 'new', 'ideas', 'and', 'tools', 'in', 'environmental', 'science', 'and', 'engineering', 'machine', 'learning', 'has', 'the', 'potential', 'to', 'revolutionize', 'data', 'analysis', 'and', 'modeling', 'in', 'the', 'shortcomings', 'challenges', 'and', 'opportunities', 'for', 'applications', 'of', 'machine', 'learning', 'in', 'the', 'ese', 'field']","['machine', 'learning', 'new', 'ideas', 'and', 'tools', 'in', 'environmental', 'science', 'and', 'engineering', 'machine', 'learning', 'has', 'the', 'potential', 'to', 'revolutionize', 'data', 'analysis', 'and', 'modeling', 'in', 'the', 'shortcomings', 'challenges', 'and', 'opportunities', 'for', 'applications', 'of', 'machine', 'learning', 'in', 'the', 'ese', 'field']",machine learning new ideas and tools in environmental science and engineering machine learning has the potential to revolutionize data analysis and modeling in the shortcomings challenges and opportunities for applications of machine learning in the ese field
29,Scope of machine learning in materials research—A review,"Scope of machine learning in materials research—A review This comprehensive review investigates the multifaceted applications of machine learning in
materials research across six key dimensions, redefining the field's boundaries. It explains …",Scope of machine learning in materials research A review This comprehensive review investigates the multifaceted applications of machine learning in materials research across six key dimensions redefining the field s boundaries It explains,"['scope', 'of', 'machine', 'learning', 'in', 'materials', 'research', 'a', 'review', 'this', 'comprehensive', 'review', 'investigates', 'the', 'multifaceted', 'applications', 'of', 'machine', 'learning', 'in', 'materials', 'research', 'across', 'six', 'key', 'dimensions', 'redefining', 'the', 'field', 's', 'boundaries', 'it', 'explains']","['scope', 'of', 'machine', 'learning', 'in', 'materials', 'research', 'review', 'this', 'comprehensive', 'review', 'investigates', 'the', 'multifaceted', 'applications', 'of', 'machine', 'learning', 'in', 'materials', 'research', 'across', 'six', 'key', 'dimensions', 'redefining', 'the', 'field', 'boundaries', 'it', 'explains']","['scope', 'of', 'machine', 'learning', 'in', 'materials', 'research', 'review', 'this', 'comprehensive', 'review', 'investigates', 'the', 'multifaceted', 'applications', 'of', 'machine', 'learning', 'in', 'materials', 'research', 'across', 'six', 'key', 'dimensions', 'redefining', 'the', 'field', 'boundaries', 'it', 'explains']",scope of machine learning in materials research review this comprehensive review investigates the multifaceted applications of machine learning in materials research across six key dimensions redefining the field boundaries it explains
30,Machine learning for biochemical engineering: A review,"Machine learning for biochemical engineering: A review … use of machine learning within biochemical engineering over the last 20 years. The most
prevalent machine learning … Finally, core challenges into the application of machine learning in …",Machine learning for biochemical engineering A review use of machine learning within biochemical engineering over the last 20 years The most prevalent machine learning Finally core challenges into the application of machine learning in,"['machine', 'learning', 'for', 'biochemical', 'engineering', 'a', 'review', 'use', 'of', 'machine', 'learning', 'within', 'biochemical', 'engineering', 'over', 'the', 'last', '20', 'years', 'the', 'most', 'prevalent', 'machine', 'learning', 'finally', 'core', 'challenges', 'into', 'the', 'application', 'of', 'machine', 'learning', 'in']","['machine', 'learning', 'for', 'biochemical', 'engineering', 'review', 'use', 'of', 'machine', 'learning', 'within', 'biochemical', 'engineering', 'over', 'the', 'last', '20', 'years', 'the', 'most', 'prevalent', 'machine', 'learning', 'finally', 'core', 'challenges', 'into', 'the', 'application', 'of', 'machine', 'learning', 'in']","['machine', 'learning', 'for', 'biochemical', 'engineering', 'review', 'use', 'of', 'machine', 'learning', 'within', 'biochemical', 'engineering', 'over', 'the', 'last', '20', 'years', 'the', 'most', 'prevalent', 'machine', 'learning', 'finally', 'core', 'challenges', 'into', 'the', 'application', 'of', 'machine', 'learning', 'in']",machine learning for biochemical engineering review use of machine learning within biochemical engineering over the last 20 years the most prevalent machine learning finally core challenges into the application of machine learning in
31,Participation is not a design fix for machine learning,"Participation is not a design fix for machine learning … machine learning. It examines three existing kinds of participation in design practice and
machine learning … justice – to argue that the machine learning community must become attuned …",Participation is not a design fix for machine learning machine learning It examines three existing kinds of participation in design practice and machine learning justice to argue that the machine learning community must become attuned,"['participation', 'is', 'not', 'a', 'design', 'fix', 'for', 'machine', 'learning', 'machine', 'learning', 'it', 'examines', 'three', 'existing', 'kinds', 'of', 'participation', 'in', 'design', 'practice', 'and', 'machine', 'learning', 'justice', 'to', 'argue', 'that', 'the', 'machine', 'learning', 'community', 'must', 'become', 'attuned']","['participation', 'is', 'not', 'design', 'fix', 'for', 'machine', 'learning', 'machine', 'learning', 'it', 'examines', 'three', 'existing', 'kinds', 'of', 'participation', 'in', 'design', 'practice', 'and', 'machine', 'learning', 'justice', 'to', 'argue', 'that', 'the', 'machine', 'learning', 'community', 'must', 'become', 'attuned']","['participation', 'is', 'not', 'design', 'fix', 'for', 'machine', 'learning', 'machine', 'learning', 'it', 'examines', 'three', 'existing', 'kinds', 'of', 'participation', 'in', 'design', 'practice', 'and', 'machine', 'learning', 'justice', 'to', 'argue', 'that', 'the', 'machine', 'learning', 'community', 'must', 'become', 'attuned']",participation is not design fix for machine learning machine learning it examines three existing kinds of participation in design practice and machine learning justice to argue that the machine learning community must become attuned
32,Machine learning for a sustainable energy future,"Machine learning for a sustainable energy future … Here we explore the extent to which machine learning (ML) techniques can help to address
many of these challenges 8,9,10 . ML models can be used to predict specific properties of …",Machine learning for a sustainable energy future Here we explore the extent to which machine learning ML techniques can help to address many of these challenges 8 9 10 ML models can be used to predict specific properties of,"['machine', 'learning', 'for', 'a', 'sustainable', 'energy', 'future', 'here', 'we', 'explore', 'the', 'extent', 'to', 'which', 'machine', 'learning', 'ml', 'techniques', 'can', 'help', 'to', 'address', 'many', 'of', 'these', 'challenges', '8', '9', '10', 'ml', 'models', 'can', 'be', 'used', 'to', 'predict', 'specific', 'properties', 'of']","['machine', 'learning', 'for', 'sustainable', 'energy', 'future', 'here', 'we', 'explore', 'the', 'extent', 'to', 'which', 'machine', 'learning', 'ml', 'techniques', 'can', 'help', 'to', 'address', 'many', 'of', 'these', 'challenges', '10', 'ml', 'models', 'can', 'be', 'used', 'to', 'predict', 'specific', 'properties', 'of']","['machine', 'learning', 'for', 'sustainable', 'energy', 'future', 'here', 'we', 'explore', 'the', 'extent', 'to', 'which', 'machine', 'learning', 'ml', 'techniques', 'can', 'help', 'to', 'address', 'many', 'of', 'these', 'challenges', '10', 'ml', 'models', 'can', 'be', 'used', 'to', 'predict', 'specific', 'properties', 'of']",machine learning for sustainable energy future here we explore the extent to which machine learning ml techniques can help to address many of these challenges 10 ml models can be used to predict specific properties of
33,Understanding from machine learning models,"Understanding from machine learning models … the opposite direction by utilizing opaque machine learning models to make predictions and
… or pragmatic good when they choose a machine learning model? Or are the assumptions …",Understanding from machine learning models the opposite direction by utilizing opaque machine learning models to make predictions and or pragmatic good when they choose a machine learning model Or are the assumptions,"['understanding', 'from', 'machine', 'learning', 'models', 'the', 'opposite', 'direction', 'by', 'utilizing', 'opaque', 'machine', 'learning', 'models', 'to', 'make', 'predictions', 'and', 'or', 'pragmatic', 'good', 'when', 'they', 'choose', 'a', 'machine', 'learning', 'model', 'or', 'are', 'the', 'assumptions']","['understanding', 'from', 'machine', 'learning', 'models', 'the', 'opposite', 'direction', 'by', 'utilizing', 'opaque', 'machine', 'learning', 'models', 'to', 'make', 'predictions', 'and', 'or', 'pragmatic', 'good', 'when', 'they', 'choose', 'machine', 'learning', 'model', 'or', 'are', 'the', 'assumptions']","['understanding', 'from', 'machine', 'learning', 'models', 'the', 'opposite', 'direction', 'by', 'utilizing', 'opaque', 'machine', 'learning', 'models', 'to', 'make', 'predictions', 'and', 'or', 'pragmatic', 'good', 'when', 'they', 'choose', 'machine', 'learning', 'model', 'or', 'are', 'the', 'assumptions']",understanding from machine learning models the opposite direction by utilizing opaque machine learning models to make predictions and or pragmatic good when they choose machine learning model or are the assumptions
34,Machine learning at the network edge: A survey,"Machine learning at the network edge: A survey … This section describes the low-power hardware that have been used in edge machine
learning systems. High performance from a deep learning application is only achievable when an …",Machine learning at the network edge A survey This section describes the low power hardware that have been used in edge machine learning systems High performance from a deep learning application is only achievable when an,"['machine', 'learning', 'at', 'the', 'network', 'edge', 'a', 'survey', 'this', 'section', 'describes', 'the', 'low', 'power', 'hardware', 'that', 'have', 'been', 'used', 'in', 'edge', 'machine', 'learning', 'systems', 'high', 'performance', 'from', 'a', 'deep', 'learning', 'application', 'is', 'only', 'achievable', 'when', 'an']","['machine', 'learning', 'at', 'the', 'network', 'edge', 'survey', 'this', 'section', 'describes', 'the', 'low', 'power', 'hardware', 'that', 'have', 'been', 'used', 'in', 'edge', 'machine', 'learning', 'systems', 'high', 'performance', 'from', 'deep', 'learning', 'application', 'is', 'only', 'achievable', 'when', 'an']","['machine', 'learning', 'at', 'the', 'network', 'edge', 'survey', 'this', 'section', 'describes', 'the', 'low', 'power', 'hardware', 'that', 'have', 'been', 'used', 'in', 'edge', 'machine', 'learning', 'systems', 'high', 'performance', 'from', 'deep', 'learning', 'application', 'is', 'only', 'achievable', 'when', 'an']",machine learning at the network edge survey this section describes the low power hardware that have been used in edge machine learning systems high performance from deep learning application is only achievable when an
35,Financial applications of machine learning: A literature review,"Financial applications of machine learning: A literature review … of machine learning and deep learning in … on machine learning in finance. The study finally
points out possible research directions which might lead to new inquiries in machine learning …",Financial applications of machine learning A literature review of machine learning and deep learning in on machine learning in finance The study finally points out possible research directions which might lead to new inquiries in machine learning,"['financial', 'applications', 'of', 'machine', 'learning', 'a', 'literature', 'review', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'in', 'on', 'machine', 'learning', 'in', 'finance', 'the', 'study', 'finally', 'points', 'out', 'possible', 'research', 'directions', 'which', 'might', 'lead', 'to', 'new', 'inquiries', 'in', 'machine', 'learning']","['financial', 'applications', 'of', 'machine', 'learning', 'literature', 'review', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'in', 'on', 'machine', 'learning', 'in', 'finance', 'the', 'study', 'finally', 'points', 'out', 'possible', 'research', 'directions', 'which', 'might', 'lead', 'to', 'new', 'inquiries', 'in', 'machine', 'learning']","['financial', 'applications', 'of', 'machine', 'learning', 'literature', 'review', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'in', 'on', 'machine', 'learning', 'in', 'finance', 'the', 'study', 'finally', 'points', 'out', 'possible', 'research', 'directions', 'which', 'might', 'lead', 'to', 'new', 'inquiries', 'in', 'machine', 'learning']",financial applications of machine learning literature review of machine learning and deep learning in on machine learning in finance the study finally points out possible research directions which might lead to new inquiries in machine learning
36,Machine learning for chemical reactions,"Machine learning for chemical reactions … Machine learning (ML) … using machine-learned neural network potentials. This review
provides an overview of the questions that can and have been addressed using machine learning …",Machine learning for chemical reactions Machine learning ML using machine learned neural network potentials This review provides an overview of the questions that can and have been addressed using machine learning,"['machine', 'learning', 'for', 'chemical', 'reactions', 'machine', 'learning', 'ml', 'using', 'machine', 'learned', 'neural', 'network', 'potentials', 'this', 'review', 'provides', 'an', 'overview', 'of', 'the', 'questions', 'that', 'can', 'and', 'have', 'been', 'addressed', 'using', 'machine', 'learning']","['machine', 'learning', 'for', 'chemical', 'reactions', 'machine', 'learning', 'ml', 'using', 'machine', 'learned', 'neural', 'network', 'potentials', 'this', 'review', 'provides', 'an', 'overview', 'of', 'the', 'questions', 'that', 'can', 'and', 'have', 'been', 'addressed', 'using', 'machine', 'learning']","['machine', 'learning', 'for', 'chemical', 'reactions', 'machine', 'learning', 'ml', 'using', 'machine', 'learned', 'neural', 'network', 'potentials', 'this', 'review', 'provides', 'an', 'overview', 'of', 'the', 'questions', 'that', 'can', 'and', 'have', 'been', 'addressed', 'using', 'machine', 'learning']",machine learning for chemical reactions machine learning ml using machine learned neural network potentials this review provides an overview of the questions that can and have been addressed using machine learning
37,The role of machine learning algorithms for diagnosing diseases,"The role of machine learning algorithms for diagnosing diseases … the machine learning … machine, K-nearest neighbor, K-means clustering, decision tree, and
random forest. In this work, many previous studies were reviewed that used machine learning …",The role of machine learning algorithms for diagnosing diseases the machine learning machine K nearest neighbor K means clustering decision tree and random forest In this work many previous studies were reviewed that used machine learning,"['the', 'role', 'of', 'machine', 'learning', 'algorithms', 'for', 'diagnosing', 'diseases', 'the', 'machine', 'learning', 'machine', 'k', 'nearest', 'neighbor', 'k', 'means', 'clustering', 'decision', 'tree', 'and', 'random', 'forest', 'in', 'this', 'work', 'many', 'previous', 'studies', 'were', 'reviewed', 'that', 'used', 'machine', 'learning']","['the', 'role', 'of', 'machine', 'learning', 'algorithms', 'for', 'diagnosing', 'diseases', 'the', 'machine', 'learning', 'machine', 'nearest', 'neighbor', 'means', 'clustering', 'decision', 'tree', 'and', 'random', 'forest', 'in', 'this', 'work', 'many', 'previous', 'studies', 'were', 'reviewed', 'that', 'used', 'machine', 'learning']","['the', 'role', 'of', 'machine', 'learning', 'algorithms', 'for', 'diagnosing', 'diseases', 'the', 'machine', 'learning', 'machine', 'nearest', 'neighbor', 'means', 'clustering', 'decision', 'tree', 'and', 'random', 'forest', 'in', 'this', 'work', 'many', 'previous', 'studies', 'were', 'reviewed', 'that', 'used', 'machine', 'learning']",the role of machine learning algorithms for diagnosing diseases the machine learning machine nearest neighbor means clustering decision tree and random forest in this work many previous studies were reviewed that used machine learning
38,Scientific machine learning benchmarks,"Scientific machine learning benchmarks … frameworks, computer architectures and machine learning models… metrics for the application
of machine learning methods to open, … Here, we introduce the concept of machine learning …",Scientific machine learning benchmarks frameworks computer architectures and machine learning models metrics for the application of machine learning methods to open Here we introduce the concept of machine learning,"['scientific', 'machine', 'learning', 'benchmarks', 'frameworks', 'computer', 'architectures', 'and', 'machine', 'learning', 'models', 'metrics', 'for', 'the', 'application', 'of', 'machine', 'learning', 'methods', 'to', 'open', 'here', 'we', 'introduce', 'the', 'concept', 'of', 'machine', 'learning']","['scientific', 'machine', 'learning', 'benchmarks', 'frameworks', 'computer', 'architectures', 'and', 'machine', 'learning', 'models', 'metrics', 'for', 'the', 'application', 'of', 'machine', 'learning', 'methods', 'to', 'open', 'here', 'we', 'introduce', 'the', 'concept', 'of', 'machine', 'learning']","['scientific', 'machine', 'learning', 'benchmarks', 'frameworks', 'computer', 'architectures', 'and', 'machine', 'learning', 'models', 'metrics', 'for', 'the', 'application', 'of', 'machine', 'learning', 'methods', 'to', 'open', 'here', 'we', 'introduce', 'the', 'concept', 'of', 'machine', 'learning']",scientific machine learning benchmarks frameworks computer architectures and machine learning models metrics for the application of machine learning methods to open here we introduce the concept of machine learning
39,When machine learning meets privacy: A survey and outlook,"When machine learning meets privacy: A survey and outlook … problems and machine learning is … machine learning. The survey covers three categories
of interactions between privacy and machine learning: (i) private machine learning, (ii) machine …",When machine learning meets privacy A survey and outlook problems and machine learning is machine learning The survey covers three categories of interactions between privacy and machine learning i private machine learning ii machine,"['when', 'machine', 'learning', 'meets', 'privacy', 'a', 'survey', 'and', 'outlook', 'problems', 'and', 'machine', 'learning', 'is', 'machine', 'learning', 'the', 'survey', 'covers', 'three', 'categories', 'of', 'interactions', 'between', 'privacy', 'and', 'machine', 'learning', 'i', 'private', 'machine', 'learning', 'ii', 'machine']","['when', 'machine', 'learning', 'meets', 'privacy', 'survey', 'and', 'outlook', 'problems', 'and', 'machine', 'learning', 'is', 'machine', 'learning', 'the', 'survey', 'covers', 'three', 'categories', 'of', 'interactions', 'between', 'privacy', 'and', 'machine', 'learning', 'private', 'machine', 'learning', 'ii', 'machine']","['when', 'machine', 'learning', 'meets', 'privacy', 'survey', 'and', 'outlook', 'problems', 'and', 'machine', 'learning', 'is', 'machine', 'learning', 'the', 'survey', 'covers', 'three', 'categories', 'of', 'interactions', 'between', 'privacy', 'and', 'machine', 'learning', 'private', 'machine', 'learning', 'ii', 'machine']",when machine learning meets privacy survey and outlook problems and machine learning is machine learning the survey covers three categories of interactions between privacy and machine learning private machine learning ii machine
40,Machine learning and deep learning: A review of methods and applications,"Machine learning and deep learning: A review of methods and applications … machine learning and deep learning, their differences, applications, and their impact on various
industries. Machine learning and deep learning … of machine learning and deep learning, …",Machine learning and deep learning A review of methods and applications machine learning and deep learning their differences applications and their impact on various industries Machine learning and deep learning of machine learning and deep learning,"['machine', 'learning', 'and', 'deep', 'learning', 'a', 'review', 'of', 'methods', 'and', 'applications', 'machine', 'learning', 'and', 'deep', 'learning', 'their', 'differences', 'applications', 'and', 'their', 'impact', 'on', 'various', 'industries', 'machine', 'learning', 'and', 'deep', 'learning', 'of', 'machine', 'learning', 'and', 'deep', 'learning']","['machine', 'learning', 'and', 'deep', 'learning', 'review', 'of', 'methods', 'and', 'applications', 'machine', 'learning', 'and', 'deep', 'learning', 'their', 'differences', 'applications', 'and', 'their', 'impact', 'on', 'various', 'industries', 'machine', 'learning', 'and', 'deep', 'learning', 'of', 'machine', 'learning', 'and', 'deep', 'learning']","['machine', 'learning', 'and', 'deep', 'learning', 'review', 'of', 'methods', 'and', 'applications', 'machine', 'learning', 'and', 'deep', 'learning', 'their', 'differences', 'applications', 'and', 'their', 'impact', 'on', 'various', 'industries', 'machine', 'learning', 'and', 'deep', 'learning', 'of', 'machine', 'learning', 'and', 'deep', 'learning']",machine learning and deep learning review of methods and applications machine learning and deep learning their differences applications and their impact on various industries machine learning and deep learning of machine learning and deep learning
